.	{NotreDame_De_Paris.txt=294, Miserables.txt=1855}
clear	{NotreDame_De_Paris.txt=12, Miserables.txt=45}
clear-sightedness	{Miserables.txt=1}
clearer	{Miserables.txt=2}
clergy	{NotreDame_De_Paris.txt=2, Miserables.txt=1}
climate	{NotreDame_De_Paris.txt=2}
climbed	{NotreDame_De_Paris.txt=9, Miserables.txt=13}
cloak	{NotreDame_De_Paris.txt=12, Miserables.txt=10}
clocks	{NotreDame_De_Paris.txt=1, Miserables.txt=2}
cloisters	{Miserables.txt=3}
cloistration	{NotreDame_De_Paris.txt=1}
close-cut	{Miserables.txt=1}
close-shaven	{Miserables.txt=1}
closet	{Miserables.txt=1}
coachman	{Miserables.txt=33}
coagulated	{Miserables.txt=1}
coal	{Miserables.txt=2}
coats	{NotreDame_De_Paris.txt=5, Miserables.txt=9}
cobble	{NotreDame_De_Paris.txt=1}
cobbler	{Miserables.txt=3}
cochere	{Miserables.txt=4}
cocoa	{Miserables.txt=1}
coffer	{NotreDame_De_Paris.txt=6, Miserables.txt=12}
coif	{NotreDame_De_Paris.txt=2}
coins	{NotreDame_De_Paris.txt=4, Miserables.txt=3}
collars	{Miserables.txt=1}
colleagues	{Miserables.txt=1}
collections	{NotreDame_De_Paris.txt=1}
colored	{NotreDame_De_Paris.txt=2, Miserables.txt=6}
combines	{NotreDame_De_Paris.txt=1, Miserables.txt=3}
comer	{NotreDame_De_Paris.txt=2, Miserables.txt=8}
comfort	{Miserables.txt=6}
comfortable-looking	{Miserables.txt=1}
comma	{Miserables.txt=1}
commander	{NotreDame_De_Paris.txt=4, Miserables.txt=7}
commandingly	{NotreDame_De_Paris.txt=1}
commands	{NotreDame_De_Paris.txt=3, Miserables.txt=5}
commence	{NotreDame_De_Paris.txt=2, Miserables.txt=1}
comment	{Miserables.txt=3}
comment,--_Rixa	{NotreDame_De_Paris.txt=1}
commission	{NotreDame_De_Paris.txt=1, Miserables.txt=8}
commissions	{Miserables.txt=3}
commonplace	{NotreDame_De_Paris.txt=3, Miserables.txt=2}
communicabit	{Miserables.txt=1}
communicating	{NotreDame_De_Paris.txt=2, Miserables.txt=6}
commutation	{Miserables.txt=1}
comparison	{NotreDame_De_Paris.txt=3, Miserables.txt=8}
compel	{Miserables.txt=2}
complains	{NotreDame_De_Paris.txt=1, Miserables.txt=2}
complaints	{NotreDame_De_Paris.txt=4, Miserables.txt=2}
completing	{NotreDame_De_Paris.txt=1, Miserables.txt=2}
complicate	{Miserables.txt=1}
complicated	{NotreDame_De_Paris.txt=7, Miserables.txt=32}
comprehending,--Dieu	{Miserables.txt=1}
compressing	{Miserables.txt=1}
comptions	{Miserables.txt=1}
conceives	{Miserables.txt=1}
concert	{NotreDame_De_Paris.txt=5, Miserables.txt=4}
concomitant	{Miserables.txt=1}
condensation	{Miserables.txt=1}
condensed	{NotreDame_De_Paris.txt=1, Miserables.txt=6}
condottiere	{Miserables.txt=1}
conducting	{NotreDame_De_Paris.txt=2}
cone	{NotreDame_De_Paris.txt=3}
conferences	{NotreDame_De_Paris.txt=2, Miserables.txt=2}
confessing	{NotreDame_De_Paris.txt=2, Miserables.txt=2}
confessor	{NotreDame_De_Paris.txt=2, Miserables.txt=3}
confident	{Miserables.txt=2}
configuration	{NotreDame_De_Paris.txt=1, Miserables.txt=1}
confining	{Miserables.txt=1}
confiscating	{Miserables.txt=1}
confounded	{NotreDame_De_Paris.txt=1, Miserables.txt=9}
congratulations	{Miserables.txt=1}
congress	{Miserables.txt=2}
conjectures	{NotreDame_De_Paris.txt=1, Miserables.txt=17}
conjuncta	{NotreDame_De_Paris.txt=1}
connecting	{Miserables.txt=2}
consecrate	{NotreDame_De_Paris.txt=1}
consents	{Miserables.txt=1}
consequently	{NotreDame_De_Paris.txt=8, Miserables.txt=14}
conservet	{Miserables.txt=1}
considerable	{NotreDame_De_Paris.txt=19, Miserables.txt=17}
consideration	{Miserables.txt=29}
consolation	{NotreDame_De_Paris.txt=6, Miserables.txt=6}
consort	{Miserables.txt=1}
constablery	{NotreDame_De_Paris.txt=2}
consternation	{NotreDame_De_Paris.txt=4, Miserables.txt=12}
constitutiones	{Miserables.txt=1}
constrained	{NotreDame_De_Paris.txt=3, Miserables.txt=5}
consultation	{Miserables.txt=3}
